IDENT,LATITUDE,LONGITUDE
ADEKI,41.296667,46.75
ADVIN,41.0,46.95
ARMUD,39.686667,50.358333
ASLAN,41.085,50.608333
BAGVA,41.041389,46.293333
BAK15,40.525378,49.987636
BAK19,40.5224,50.0149
BAK20,40.523975,50.014178
BAK39,40.4264,50.0616
BAK40,40.424733,50.061575
BAK67,40.574331,49.990803
BALUN,42.016667,51.461667
BAMAK,40.075,50.196667
BARAD,41.358611,45.083333
BEKIR,41.058333,47.888333
BODKA,39.65,51.5
BULUD,40.698333,50.248333
BUNIS,40.788333,50.035
DALGA,40.816667,48.95
DEDIN,41.325,45.215
DILON,40.333333,50.616667
DOMED,38.751944,49.815
DUKAN,39.991667,51.5
GILIM,40.164167,51.0525
GINET,40.593333,48.87
GIPAR,41.218333,47.586667
GOBUS,40.075,49.996667
GYD08,40.339183,50.061439
GYD15,40.602664,49.910989
GYD25,40.462625,49.935792
GYD27,40.487778,49.932425
GYD30,40.573506,49.891069
GYD31,40.587217,49.986053
GYD32,40.612003,49.943875
GYD33,40.601306,49.984994
GYD34,40.61455,50.003408
GYD50,40.332389,50.133203
GYD55,40.562847,50.031489
GYD59,40.348408,50.095
GYD63,40.382936,49.978542
GYD69,40.317856,50.069394
GYD87,40.331672,50.097522
GYD93,40.321017,50.006128
GYD98,40.309214,50.036892
IBRUT,41.59,51.065
IRLAN,39.511389,45.443889
KARAD,40.238333,49.491667
KEDAB,40.6,46.031667
LAMRI,40.481667,49.321667
LASKA,42.385,49.553333
LEKBA,41.526667,48.738333
LESGI,40.885,49.343056
LIMTI,40.74,47.396667
LUSAL,40.583333,47.95
MAMEX,40.91,51.043333
MEKAN,42.308333,49.418333
MIVKO,40.043333,48.618333
NAMAS,41.333333,50.0
NASAR,39.65,49.943333
NASIL,39.016667,49.85
NETON,39.761667,48.195
OKBUL,40.28,48.998333
OKTAT,41.423333,48.553333
OMAKI,41.811667,49.27
PARSU,39.63,48.08
R1743,40.485269,50.062792
R1744,40.457675,50.062983
R2545,40.479694,50.034581
R2546,40.456944,50.045711
RALED,41.991667,49.611667
RODAR,40.466667,51.5
SAGIL,40.633333,49.566667
SUTUN,40.071667,49.075
TITAP,40.4,51.055833
USAGA,40.304167,49.050833
XIMBO,40.391667,49.173333
